code	name	parent_code
1	全国	
1000	北京市	991000
1027	密云县	1000
1028	延庆县	1000
1100	天津市	991100
1121	宁河县	1100
1123	静海县	1100
1125	蓟　县	1100
1200	河北省	1
1210	石家庄市	1200
1211	井陉县	1210
1212	鹿泉市	1210
1213	正定县	1210
1214	栾城县	1210
1221	辛集市	1210
1222	晋州市	1210
1223	深泽县	1210
1224	无极县	1210
1225	藁城市	1210
1226	赵　县	1210
1227	新乐市	1210
1228	高邑县	1210
1229	元氏县	1210
1231	赞皇县	1210
1232	平山县	1210
1233	灵寿县	1210
1234	行唐县	1210
1240	唐山市	1200
1243	滦　县	1240
1244	滦南县	1240
1245	乐亭县	1240
1246	迁安市	1240
1247	迁西县	1240
1248	遵化市	1240
1249	玉田县	1240
1251	唐海县	1240
1260	秦皇岛市	1200
1261	青龙满族自治县	1260
1262	昌黎县	1260
1263	抚宁县	1260
1264	卢龙县	1260
1270	邯郸市	1200
1271	邯郸县	1270
1281	大名县	1270
1282	魏　县	1270
1283	曲周县	1270
1284	邱　县	1270
1285	鸡泽县	1270
1286	肥乡县	1270
1287	广平县	1270
1288	成安县	1270
1289	临漳县	1270
1291	磁　县	1270
1292	涉　县	1270
1293	永年县	1270
1294	馆陶县	1270
1295	武安市	1270
1310	邢台市	1200
1311	邢台县	1310
1321	南宫市	1310
1322	沙河市	1310
1323	临城县	1310
1324	内丘县	1310
1325	柏乡县	1310
1326	隆尧县	1310
1327	任　县	1310
1328	南和县	1310
1329	宁晋县	1310
1331	巨鹿县	1310
1332	新河县	1310
1333	广宗县	1310
1334	平乡县	1310
1335	威　县	1310
1336	清河县	1310
1337	临西县	1310
1340	保定市	1200
1341	满城县	1340
1342	清苑县	1340
1351	定州市	1340
1352	涿州市	1340
1353	易　县	1340
1354	徐水县	1340
1355	涞源县	1340
1356	定兴县	1340
1357	顺平县	1340
1358	唐　县	1340
1359	望都县	1340
1361	涞水县	1340
1362	高阳县	1340
1363	安新县	1340
1364	雄　县	1340
1365	容城县	1340
1366	高碑店市	1340
1367	曲阳县	1340
1368	阜平县	1340
1369	安国市	1340
1371	博野县	1340
1372	蠡　县	1340
1380	张家口市	1200
1381	宣化县	1380
1391	张北县	1380
1392	康保县	1380
1393	沽源县	1380
1394	尚义县	1380
1395	蔚　县	1380
1396	阳原县	1380
1397	怀安县	1380
1398	万全县	1380
1399	怀来县	1380
1401	涿鹿县	1380
1402	赤城县	1380
1403	崇礼县	1380
1410	承德市	1200
1411	承德县	1410
1421	宽城满族自治县	1410
1422	兴隆县	1410
1423	平泉县	1410
1424	滦平县	1410
1425	丰宁满族自治县	1410
1426	隆化县	1410
1427	围场满族蒙古族自治县	1410
1430	沧州市	1200
1431	沧　县	1430
1432	青　县	1430
1441	泊头市	1430
1442	任丘市	1430
1443	河间市	1430
1444	肃宁县	1430
1445	献　县	1430
1446	吴桥县	1430
1447	东光县	1430
1448	南皮县	1430
1449	盐山县	1430
1451	黄骅市	1430
1452	孟村回族自治县	1430
1453	海兴县	1430
1460	廊坊市	1200
1461	三河市	1460
1462	固安县	1460
1463	永清县	1460
1464	香河县	1460
1465	大城县	1460
1466	文安县	1460
1467	霸州市	1460
1468	大厂回族自治县	1460
1480	衡水市	1200
1482	冀州市	1480
1483	枣强县	1480
1484	武邑县	1480
1485	深州市	1480
1486	武强县	1480
1487	饶阳县	1480
1488	安平县	1480
1489	故城县	1480
1491	景　县	1480
1492	阜城县	1480
1600	山西省	1
1610	太原市	1600
1611	清徐县	1610
1612	阳曲县	1610
1613	娄烦县	1610
1614	古交市	1610
1620	大同市	1600
1631	阳高县	1620
1632	天镇县	1620
1633	广灵县	1620
1634	灵丘县	1620
1635	浑源县	1620
1637	左云县	1620
1639	大同县	1620
1650	阳泉市	1600
1651	平定县	1650
1652	盂　县	1650
1660	长治市	1600
1661	长治县	1660
1662	潞城市	1660
1663	襄垣县	1660
1664	屯留县	1660
1665	平顺县	1660
1666	黎城县	1660
1667	壶关县	1660
1668	长子县	1660
1669	武乡县	1660
1671	沁　县	1660
1672	沁源县	1660
1680	晋城市	1600
1681	沁水县	1680
1682	阳城县	1680
1683	高平市	1680
1684	陵川县	1680
1685	泽州县	1680
1690	朔州市	1600
1691	山阴县	1690
1692	应　县	1690
1693	右玉县	1690
1694	怀仁县	1690
1710	忻州市	1600
1712	定襄县	1710
1713	五台县	1710
1714	原平市	1710
1715	代　县	1710
1716	繁峙县	1710
1717	宁武县	1710
1718	静乐县	1710
1719	神池县	1710
1721	五寨县	1710
1722	岢岚县	1710
1723	河曲县	1710
1724	保德县	1710
1725	偏关县	1710
1730	吕梁市	1600
1731	汾阳市	1730
1732	文水县	1730
1733	交城县	1730
1734	孝义市	1730
1735	兴　县	1730
1736	临　县	1730
1737	柳林县	1730
1738	石楼县	1730
1739	岚　县	1730
1741	方山县	1730
1743	中阳县	1730
1744	交口县	1730
1750	晋中市	1600
1752	榆社县	1750
1753	左权县	1750
1754	和顺县	1750
1755	昔阳县	1750
1756	寿阳县	1750
1757	太谷县	1750
1758	祁　县	1750
1759	平遥县	1750
1761	介休市	1750
1762	灵石县	1750
1770	临汾市	1600
1772	侯马市	1770
1773	曲沃县	1770
1774	翼城县	1770
1775	襄汾县	1770
1776	洪洞县	1770
1777	霍州市	1770
1778	古　县	1770
1779	安泽县	1770
